index,xy,r,theta,value
"(3.0, -2.53846154)",[ 3.         -2.53846154],3.9298583931306195,-0.7022569318078576,(0.2963612386054258-0.0774213833470431j)
"(-3.0, -2.38461538)",[-3.         -2.38461538],3.8322826762299966,-2.469986498278841,(-0.11868284165842043-0.37023951865866594j)
"(-2.84615385, -2.38461538)",[-2.84615385 -2.38461538],3.7130825803370393,-2.4442018653381115,(-0.3667405848947805-0.1485417591866475j)
"(-2.69230769, -2.38461538)",[-2.69230769 -2.38461538],3.596513757538775,-2.416726510509676,(-0.35967499288731464+0.1811614816060706j)
"(-2.53846154, -2.38461538)",[-2.53846154 -2.38461538],3.4828404357064247,-2.387434324890906,(-0.11324193257505191+0.39394376949420584j)
"(-2.38461538, -2.38461538)",[-2.38461538 -2.38461538],3.3723554114394716,-2.356194490192345,(0.20514850877503632+0.36324037636315504j)
"(-2.23076923, -2.38461538)",[-2.23076923 -2.38461538],3.265382346379569,-2.3228734951076606,(0.4059747327894333+0.1240057961553942j)
"(-2.07692308, -2.38461538)",[-2.07692308 -2.38461538],3.162277658708866,-2.287338002583608,(0.39320280743696445-0.17846100354990993j)
"(-1.92307692, -2.38461538)",[-1.92307692 -2.38461538],3.0634319562819132,-2.2494588177071435,(0.19658893815484982-0.3925656977078898j)
"(-1.76923077, -2.38461538)",[-1.76923077 -2.38461538],2.96927062223155,-2.209116135938171,(-0.0752012568812759-0.43971189760988183j)
"(-1.61538462, -2.38461538)",[-1.61538462 -2.38461538],2.880253110590298,-2.1662062044990216,(-0.30905317088206974-0.3310209729383442j)
"(-1.46153846, -2.38461538)",[-1.46153846 -2.38461538],2.7968706049067977,-2.120649509864825,(-0.4393256025428342-0.1337046244324683j)
"(-1.30769231, -2.38461538)",[-1.30769231 -2.38461538],2.7196414631648933,-2.072400382544017,(-0.4586403481551747+0.07668781384165675j)
"(-1.15384615, -2.38461538)",[-1.15384615 -2.38461538],2.6491038953582713,-2.0214576523274697,(-0.39881253470834926+0.24881022983562695j)
"(-1.0, -2.38461538)",[-1.         -2.38461538],2.5858055825085815,-1.9678757727101444,(-0.3038982338097152+0.3640340083437589j)
"(-0.84615385, -2.38461538)",[-0.84615385 -2.38461538],2.5302898743824525,-1.91177528233376,(-0.2111641797854382+0.4280261107918581j)
"(-0.69230769, -2.38461538)",[-0.69230769 -2.38461538],2.483078824396374,-1.8533512788902038,(-0.14425755145628397+0.45688590785576416j)
"(-0.53846154, -2.38461538)",[-0.53846154 -2.38461538],2.444653623847705,-1.7928782297300798,(-0.11490486923378689+0.46563286973710755j)
"(-0.38461538, -2.38461538)",[-0.38461538 -2.38461538],2.415433605186673,-1.7307094483709657,(-0.1272489878769137+0.46141779727662885j)
"(-0.23076923, -2.38461538)",[-0.23076923 -2.38461538],2.3957556110854332,-1.6672701018434628,(-0.18027355680396182+0.44075960935580494j)
"(-0.07692308, -2.38461538)",[-0.07692308 -2.38461538],2.3858557522971147,-1.603043210581502,(-0.2661750419370285+0.3901196555194617j)
"(0.07692308, -2.38461538)",[ 0.07692308 -2.38461538],2.3858557522971147,-1.5385494430082913,(-0.36525375959429934+0.2908415702582924j)
"(0.23076923, -2.38461538)",[ 0.23076923 -2.38461538],2.3957556110854332,-1.4743225517463303,(-0.44132791048416675+0.13046333911902921j)
"(0.38461538, -2.38461538)",[ 0.38461538 -2.38461538],2.415433605186673,-1.4108832052188274,(-0.44523706392176066-0.08018846348252848j)
"(0.53846154, -2.38461538)",[ 0.53846154 -2.38461538],2.444653623847705,-1.3487144238597135,(-0.33406253592631385-0.2921360950361332j)
"(0.69230769, -2.38461538)",[ 0.69230769 -2.38461538],2.483078824396374,-1.2882413746995893,(-0.10490909592827156-0.4217972271438566j)
"(0.84615385, -2.38461538)",[ 0.84615385 -2.38461538],2.5302898743824525,-1.2298173712560334,(0.17566739909425375-0.38722120087035133j)
"(1.0, -2.38461538)",[ 1.         -2.38461538],2.5858055825085815,-1.1737168808796488,(0.3792768623114643-0.16974032503779163j)
"(1.15384615, -2.38461538)",[ 1.15384615 -2.38461538],2.6491038953582713,-1.1201350012623237,(0.380824328830284+0.1396922821000469j)
"(1.30769231, -2.38461538)",[ 1.30769231 -2.38461538],2.7196414631648933,-1.0691922710457762,(0.15550844220157994+0.36377644040868984j)
"(1.46153846, -2.38461538)",[ 1.46153846 -2.38461538],2.7968706049067977,-1.0209431437249683,(-0.16751415022096233+0.34741160219546297j)
"(1.61538462, -2.38461538)",[ 1.61538462 -2.38461538],2.880253110590298,-0.9753864490907718,(-0.3657951037844603+0.08750555431442489j)
"(1.76923077, -2.38461538)",[ 1.76923077 -2.38461538],2.96927062223155,-0.9324765176516226,(-0.2852641045012067-0.23110833459427033j)
"(1.92307692, -2.38461538)",[ 1.92307692 -2.38461538],3.0634319562819132,-0.8921338358826495,(0.018160066805638045-0.35836678378686715j)
"(2.07692308, -2.38461538)",[ 2.07692308 -2.38461538],3.162277658708866,-0.8542546510061853,(0.297758216570543-0.18608052821203191j)
"(2.23076923, -2.38461538)",[ 2.23076923 -2.38461538],3.265382346379569,-0.8187191584821328,(0.3137976720489323+0.14054131736492945j)
"(2.38461538, -2.38461538)",[ 2.38461538 -2.38461538],3.3723554114394716,-0.7853981633974483,(0.05177974427851745+0.33275322328158125j)
"(2.53846154, -2.38461538)",[ 2.53846154 -2.38461538],3.4828404357064247,-0.7541583286988873,(-0.248813953745207+0.21639032825319723j)
